"filename", "language", "TypeScript React", "TypeScript", "JSON", "SCSS", "CSS", "HTML", "Markdown", "Log", "comment", "blank", "total"
"d:\Dev\fbe-on-web-react\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 26, 0, 0, 21, 47
"d:\Dev\fbe-on-web-react\package-lock.json", "JSON", 0, 0, 35111, 0, 0, 0, 0, 0, 0, 1, 35112
"d:\Dev\fbe-on-web-react\package.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"d:\Dev\fbe-on-web-react\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"d:\Dev\fbe-on-web-react\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Dev\fbe-on-web-react\src\App.tsx", "TypeScript React", 81, 0, 0, 0, 0, 0, 0, 0, 8, 15, 104
"d:\Dev\fbe-on-web-react\src\BuildPane.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 0, 0, 15, 10, 62
"d:\Dev\fbe-on-web-react\src\atom\edit.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Dev\fbe-on-web-react\src\atom\syms.ts", "TypeScript", 0, 187, 0, 0, 0, 0, 0, 0, 117, 47, 351
"d:\Dev\fbe-on-web-react\src\components\App\Head.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Dev\fbe-on-web-react\src\components\App\SideBar.tsx", "TypeScript React", 74, 0, 0, 0, 0, 0, 0, 0, 13, 9, 96
"d:\Dev\fbe-on-web-react\src\components\sym\Arrow.tsx", "TypeScript React", 110, 0, 0, 0, 0, 0, 0, 0, 30, 9, 149
"d:\Dev\fbe-on-web-react\src\components\sym\Flow.tsx", "TypeScript React", 63, 0, 0, 0, 0, 0, 0, 0, 7, 8, 78
"d:\Dev\fbe-on-web-react\src\components\sym\Sym.tsx", "TypeScript React", 136, 0, 0, 0, 0, 0, 0, 0, 22, 15, 173
"d:\Dev\fbe-on-web-react\src\components\sym\WhileSym.tsx", "TypeScript React", 71, 0, 0, 0, 0, 0, 0, 0, 6, 3, 80
"d:\Dev\fbe-on-web-react\src\css\App.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6
"d:\Dev\fbe-on-web-react\src\css\global.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 0, 1, 1, 12
"d:\Dev\fbe-on-web-react\src\css\global.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\Dev\fbe-on-web-react\src\css\global.scss", "SCSS", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\Dev\fbe-on-web-react\src\css\media.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 26, 9, 58
"d:\Dev\fbe-on-web-react\src\index.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"d:\Dev\fbe-on-web-react\src\prac\AtomTest.tsx", "TypeScript React", 27, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
"d:\Dev\fbe-on-web-react\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Dev\fbe-on-web-react\src\redux\actions.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 2, 7, 74
"d:\Dev\fbe-on-web-react\src\redux\reducers\items.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 8, 60
"d:\Dev\fbe-on-web-react\src\redux\reducers\mode.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Dev\fbe-on-web-react\src\redux\reducers\selectItem.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\Dev\fbe-on-web-react\src\redux\reducers\top.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Dev\fbe-on-web-react\src\redux\store.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"d:\Dev\fbe-on-web-react\src\redux\types\action.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Dev\fbe-on-web-react\src\redux\types\item.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Dev\fbe-on-web-react\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Dev\fbe-on-web-react\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Dev\fbe-on-web-react\src\util\hooks.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 35, 21, 85
"d:\Dev\fbe-on-web-react\src\util\itemCreator.tsx", "TypeScript React", 65, 0, 0, 0, 0, 0, 0, 0, 75, 26, 166
"d:\Dev\fbe-on-web-react\src\util\syms.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 0, 0, 1, 5, 39
"d:\Dev\fbe-on-web-react\tsconfig.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 3, 4, 34
"d:\Dev\fbe-on-web-react\yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 10844, 0, 1589, 12433
"Total", "-", 767, 439, 35217, 10, 11, 20, 26, 10844, 393, 1872, 49599
