"filename", "language", "TypeScript", "TypeScript React", "SCSS", "CSS", "comment", "blank", "total"
"d:\Dev\fbe-on-web-react\src\App.tsx", "TypeScript React", 0, 81, 0, 0, 8, 16, 105
"d:\Dev\fbe-on-web-react\src\BuildPane.tsx", "TypeScript React", 0, 45, 0, 0, 15, 11, 71
"d:\Dev\fbe-on-web-react\src\components\App\Head.tsx", "TypeScript React", 0, 23, 0, 0, 0, 4, 27
"d:\Dev\fbe-on-web-react\src\components\App\SideBar.tsx", "TypeScript React", 0, 144, 0, 0, 21, 14, 179
"d:\Dev\fbe-on-web-react\src\components\sym\Arrow.tsx", "TypeScript React", 0, 132, 0, 0, 3, 11, 146
"d:\Dev\fbe-on-web-react\src\components\sym\BranchSym.tsx", "TypeScript React", 0, 146, 0, 0, 6, 8, 160
"d:\Dev\fbe-on-web-react\src\components\sym\CalcSym.tsx", "TypeScript React", 0, 13, 0, 0, 0, 2, 15
"d:\Dev\fbe-on-web-react\src\components\sym\DataSym.tsx", "TypeScript React", 0, 35, 0, 0, 0, 6, 41
"d:\Dev\fbe-on-web-react\src\components\sym\DoubleBranchSym.tsx", "TypeScript React", 0, 7, 0, 0, 0, 2, 9
"d:\Dev\fbe-on-web-react\src\components\sym\Flow.tsx", "TypeScript React", 0, 104, 0, 0, 6, 8, 118
"d:\Dev\fbe-on-web-react\src\components\sym\PrepareSym.tsx", "TypeScript React", 0, 26, 0, 0, 0, 6, 32
"d:\Dev\fbe-on-web-react\src\components\sym\SwitchBranchSym.tsx", "TypeScript React", 0, 7, 0, 0, 0, 3, 10
"d:\Dev\fbe-on-web-react\src\components\sym\Sym.tsx", "TypeScript React", 0, 134, 0, 0, 20, 17, 171
"d:\Dev\fbe-on-web-react\src\components\sym\TerminalSym.tsx", "TypeScript React", 0, 22, 0, 0, 2, 3, 27
"d:\Dev\fbe-on-web-react\src\components\sym\WhileSym.tsx", "TypeScript React", 0, 67, 0, 0, 10, 4, 81
"d:\Dev\fbe-on-web-react\src\css\App.scss", "SCSS", 0, 0, 0, 0, 0, 6, 6
"d:\Dev\fbe-on-web-react\src\css\global.css", "CSS", 0, 0, 0, 13, 1, 2, 16
"d:\Dev\fbe-on-web-react\src\css\global.min.css", "CSS", 0, 0, 0, 1, 1, 0, 2
"d:\Dev\fbe-on-web-react\src\css\global.scss", "SCSS", 0, 0, 13, 0, 0, 3, 16
"d:\Dev\fbe-on-web-react\src\css\media.ts", "TypeScript", 23, 0, 0, 0, 26, 9, 58
"d:\Dev\fbe-on-web-react\src\index.tsx", "TypeScript React", 0, 18, 0, 0, 3, 6, 27
"d:\Dev\fbe-on-web-react\src\prac\AtomTest.tsx", "TypeScript React", 0, 27, 0, 0, 0, 11, 38
"d:\Dev\fbe-on-web-react\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"d:\Dev\fbe-on-web-react\src\redux\actions.ts", "TypeScript", 39, 0, 0, 0, 1, 7, 47
"d:\Dev\fbe-on-web-react\src\redux\reducers\edits.ts", "TypeScript", 38, 0, 0, 0, 0, 4, 42
"d:\Dev\fbe-on-web-react\src\redux\reducers\items.ts", "TypeScript", 130, 0, 0, 0, 1, 12, 143
"d:\Dev\fbe-on-web-react\src\redux\reducers\mode.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"d:\Dev\fbe-on-web-react\src\redux\reducers\selectItem.ts", "TypeScript", 87, 0, 0, 0, 10, 13, 110
"d:\Dev\fbe-on-web-react\src\redux\reducers\top.ts", "TypeScript", 19, 0, 0, 0, 0, 4, 23
"d:\Dev\fbe-on-web-react\src\redux\store.ts", "TypeScript", 14, 0, 0, 0, 0, 7, 21
"d:\Dev\fbe-on-web-react\src\redux\types\action.ts", "TypeScript", 4, 0, 0, 0, 0, 3, 7
"d:\Dev\fbe-on-web-react\src\redux\types\item.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 19
"d:\Dev\fbe-on-web-react\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"d:\Dev\fbe-on-web-react\src\setupTests.ts", "TypeScript", 1, 0, 0, 0, 4, 1, 6
"d:\Dev\fbe-on-web-react\src\util\functions.ts", "TypeScript", 22, 0, 0, 0, 0, 7, 29
"d:\Dev\fbe-on-web-react\src\util\hooks.tsx", "TypeScript React", 0, 36, 0, 0, 35, 20, 91
"d:\Dev\fbe-on-web-react\src\util\itemCreator.tsx", "TypeScript React", 0, 280, 0, 0, 8, 32, 320
"d:\Dev\fbe-on-web-react\src\util\syms.tsx", "TypeScript React", 0, 45, 0, 0, 1, 10, 56
"Total", "-", 419, 1392, 13, 14, 183, 281, 2302
