"filename", "language", "TypeScript React", "JSON", "TypeScript", "JavaScript", "SCSS", "CSS", "Markdown", "HTML", "Log", "comment", "blank", "total"
"d:\Dev\fbe-on-web-react\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 10, 19
"d:\Dev\fbe-on-web-react\package-lock.json", "JSON", 0, 34988, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34989
"d:\Dev\fbe-on-web-react\package.json", "JSON", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 64
"d:\Dev\fbe-on-web-react\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"d:\Dev\fbe-on-web-react\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Dev\fbe-on-web-react\src\App.tsx", "TypeScript React", 82, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 114
"d:\Dev\fbe-on-web-react\src\BuildPane.tsx", "TypeScript React", 64, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 86
"d:\Dev\fbe-on-web-react\src\components\App\AppDialog.tsx", "TypeScript React", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 22
"d:\Dev\fbe-on-web-react\src\components\App\FabBar.tsx", "TypeScript React", 111, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 129
"d:\Dev\fbe-on-web-react\src\components\App\Head.tsx", "TypeScript React", 164, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 183
"d:\Dev\fbe-on-web-react\src\components\App\MenuDialog.tsx", "TypeScript React", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"d:\Dev\fbe-on-web-react\src\components\App\SideBar.tsx", "TypeScript React", 454, 0, 0, 0, 0, 0, 0, 0, 0, 121, 23, 598
"d:\Dev\fbe-on-web-react\src\components\App\TestZone.tsx", "TypeScript React", 59, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 67
"d:\Dev\fbe-on-web-react\src\components\App\TracerPane.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 47
"d:\Dev\fbe-on-web-react\src\components\App\VariableTracer.tsx", "TypeScript React", 61, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 69
"d:\Dev\fbe-on-web-react\src\components\App\types.tsx", "TypeScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 16
"d:\Dev\fbe-on-web-react\src\components\sym\Arrow.tsx", "TypeScript React", 145, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 164
"d:\Dev\fbe-on-web-react\src\components\sym\BranchSym.tsx", "TypeScript React", 146, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 160
"d:\Dev\fbe-on-web-react\src\components\sym\CalcSym.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Dev\fbe-on-web-react\src\components\sym\DataSym.tsx", "TypeScript React", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\Dev\fbe-on-web-react\src\components\sym\DoubleBranchSym.tsx", "TypeScript React", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Dev\fbe-on-web-react\src\components\sym\Flow.tsx", "TypeScript React", 107, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 121
"d:\Dev\fbe-on-web-react\src\components\sym\ForSym.tsx", "TypeScript React", 85, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 95
"d:\Dev\fbe-on-web-react\src\components\sym\PrepareSym.tsx", "TypeScript React", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\Dev\fbe-on-web-react\src\components\sym\ProcessSym.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\Dev\fbe-on-web-react\src\components\sym\SwitchBranchSym.tsx", "TypeScript React", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Dev\fbe-on-web-react\src\components\sym\Sym.tsx", "TypeScript React", 198, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 235
"d:\Dev\fbe-on-web-react\src\components\sym\TerminalSym.tsx", "TypeScript React", 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 45
