Date : 2021-11-18 20:50:44
Directory : d:\Dev\fbe-on-web-react
Total : 84 files,  50894 codes, 606 comments, 2132 blanks, all 53632 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          4 |     35,103 |          3 |          7 |     35,113 |
| Log              |          1 |     10,902 |          0 |      1,615 |     12,517 |
| TypeScript React |         49 |      3,619 |        445 |        364 |      4,428 |
| TypeScript       |         23 |      1,214 |        133 |        123 |      1,470 |
| HTML             |          1 |         20 |         23 |          1 |         44 |
| CSS              |          2 |         14 |          2 |          2 |         18 |
| SCSS             |          2 |         13 |          0 |          9 |         22 |
| Markdown         |          1 |          9 |          0 |         10 |         19 |
| JavaScript       |          1 |          0 |          0 |          1 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                              |         84 |     50,894 |        606 |      2,132 |     53,632 |
| public                                                         |          2 |         45 |         23 |          2 |         70 |
| src                                                            |         77 |      4,860 |        580 |        499 |      5,939 |
| src\components                                                 |         25 |      1,970 |        221 |        170 |      2,361 |
| src\components\App                                             |          9 |        961 |        154 |         67 |      1,182 |
| src\components\sym                                             |         13 |        918 |         51 |         88 |      1,057 |
| src\components\util                                            |          3 |         91 |         16 |         15 |        122 |
| src\css                                                        |          5 |         50 |         28 |         20 |         98 |
| src\error                                                      |          1 |          7 |          0 |          3 |         10 |
| src\exe                                                        |          6 |        519 |         28 |         34 |        581 |
| src\exe\runtimes                                               |          6 |        519 |         28 |         34 |        581 |
| src\item                                                       |         13 |        608 |        112 |         73 |        793 |
| src\item\creator                                               |         12 |        596 |        112 |         71 |        779 |
| src\prac                                                       |          1 |         27 |          0 |         11 |         38 |
| src\redux                                                      |         12 |        766 |         44 |         74 |        884 |
| src\redux\reducers                                             |          7 |        623 |         42 |         51 |        716 |
| src\redux\types                                                |          3 |         32 |          0 |         10 |         42 |
| src\util                                                       |          7 |        740 |        110 |         67 |        917 |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                       | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\Dev\fbe-on-web-react\README.md                              | Markdown         |          9 |          0 |         10 |         19 |
| d:\Dev\fbe-on-web-react\package-lock.json                      | JSON             |     34,988 |          0 |          1 |     34,989 |
| d:\Dev\fbe-on-web-react\package.json                           | JSON             |         63 |          0 |          1 |         64 |
| d:\Dev\fbe-on-web-react\public\index.html                      | HTML             |         20 |         23 |          1 |         44 |
| d:\Dev\fbe-on-web-react\public\manifest.json                   | JSON             |         25 |          0 |          1 |         26 |
| d:\Dev\fbe-on-web-react\src\App.tsx                            | TypeScript React |         82 |         11 |         21 |        114 |
| d:\Dev\fbe-on-web-react\src\BuildPane.tsx                      | TypeScript React |         64 |         11 |         11 |         86 |
| d:\Dev\fbe-on-web-react\src\components\App\AppDialog.tsx       | TypeScript React |         14 |          5 |          3 |         22 |
| d:\Dev\fbe-on-web-react\src\components\App\FabBar.tsx          | TypeScript React |        111 |          7 |         11 |        129 |
| d:\Dev\fbe-on-web-react\src\components\App\Head.tsx            | TypeScript React |        164 |         12 |          7 |        183 |
| d:\Dev\fbe-on-web-react\src\components\App\MenuDialog.tsx      | TypeScript React |         47 |          0 |          4 |         51 |
| d:\Dev\fbe-on-web-react\src\components\App\SideBar.tsx         | TypeScript React |        454 |        121 |         23 |        598 |
| d:\Dev\fbe-on-web-react\src\components\App\TestZone.tsx        | TypeScript React |         59 |          4 |          4 |         67 |
| d:\Dev\fbe-on-web-react\src\components\App\TracerPane.tsx      | TypeScript React |         41 |          1 |          5 |         47 |
| d:\Dev\fbe-on-web-react\src\components\App\VariableTracer.tsx  | TypeScript React |         61 |          2 |          6 |         69 |
| d:\Dev\fbe-on-web-react\src\components\App\types.tsx           | TypeScript React |         10 |          2 |          4 |         16 |
| d:\Dev\fbe-on-web-react\src\components\sym\Arrow.tsx           | TypeScript React |        145 |          8 |         11 |        164 |
| d:\Dev\fbe-on-web-react\src\components\sym\BranchSym.tsx       | TypeScript React |        146 |          6 |          8 |        160 |
