Date : 2022-03-10 16:48:53
Directory : /Users/tsubasa/Desktop/dev/fbe/fbe-core/web
Total : 115 files,  32446 codes, 392 comments, 727 blanks, all 33565 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     27,372 |          0 |          3 |     27,375 |
| TypeScript React   |         50 |      3,173 |         86 |        383 |      3,642 |
| TypeScript         |         57 |      1,748 |        283 |        311 |      2,342 |
| Log                |          1 |         99 |          0 |         24 |        123 |
| JSON with Comments |          1 |         24 |          0 |          0 |         24 |
| HTML               |          1 |         20 |         23 |          1 |         44 |
| CSS                |          1 |          6 |          0 |          2 |          8 |
| Markdown           |          1 |          4 |          0 |          3 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        115 |     32,446 |        392 |        727 |     33,565 |
| public                                                                                   |          2 |         87 |         23 |          2 |        112 |
| src                                                                                      |        108 |      4,927 |        369 |        696 |      5,992 |
| src/components                                                                           |         22 |      1,714 |         44 |        178 |      1,936 |
| src/components/App                                                                       |         16 |      1,547 |         28 |        151 |      1,726 |
| src/components/util                                                                      |          6 |        167 |         16 |         27 |        210 |
| src/execute                                                                              |          7 |        388 |        224 |         59 |        671 |
| src/execute/runtime                                                                      |          5 |        334 |         22 |         49 |        405 |
| src/format                                                                               |          1 |         98 |          0 |         10 |        108 |
| src/items                                                                                |         46 |      1,698 |         63 |        243 |      2,004 |
| src/items/base                                                                           |          3 |        233 |          0 |         19 |        252 |
| src/items/calc                                                                           |          3 |         58 |          1 |         11 |         70 |
| src/items/flow                                                                           |          5 |        200 |         15 |         26 |        241 |
| src/items/for                                                                            |          3 |        161 |         28 |         18 |        207 |
| src/items/if                                                                             |          3 |        209 |          3 |         20 |        232 |
| src/items/input                                                                          |          3 |         53 |          0 |         14 |         67 |
| src/items/output                                                                         |          3 |         47 |          0 |         15 |         62 |
| src/items/prepare                                                                        |          3 |         91 |          0 |         15 |        106 |
| src/items/process                                                                        |          3 |         53 |          0 |         14 |         67 |
| src/items/switch                                                                         |          3 |         82 |          0 |         13 |         95 |
| src/items/terminalEnd                                                                    |          3 |         23 |          1 |         11 |         35 |
| src/items/terminalStart                                                                  |          3 |         36 |          2 |         10 |         48 |
| src/items/while                                                                          |          3 |        155 |          1 |         11 |        167 |
